CITY;STATE;POSTALCODE
BROOKLYN;NY;11221
BROOKLYN;NY;11223
BROOKLYN;NY;11225
BROOKLYN;NY;11228
BROOKLYN;NY;11230
BROOKLYN;NY;11232
BROOKLYN;NY;11234
BROOKLYN;NY;11236
BROOKLYN;NY;11238
BROOKLYN;NY;11240
BROOKLYN;NY;11242
BROOKLYN;NY;11244
BROOKLYN;NY;11247
BROOKLYN;NY;11249
BROOKLYN;NY;11252
BROOKLYN;NY;11255
FLUSHING;NY;11352
FLUSHING;NY;11355
BAYSIDE;NY;11359
BAYSIDE;NY;11361
LITTLE NECK;NY;11362
OAKLAND GARDENS;NY;11364
FRESH MEADOWS;NY;11365
FLUSHING;NY;11367
EAST ELMHURST;NY;11369
JACKSON HEIGHTS;NY;11372
ELMHURST;NY;11373
REGO PARK;NY;11374
MIDDLE VILLAGE;NY;11379
FLUSHING;NY;11381
RIDGEWOOD;NY;11385
SAINT ALBANS;NY;11412
HOWARD BEACH;NY;11414
KEW GARDENS;NY;11415
OZONE PARK;NY;11416
SOUTH RICHMOND HILL;NY;11419
WOODHAVEN;NY;11421
HOLLIS;NY;11423
JAMAICA;NY;11424
BELLEROSE;NY;11426
QUEENS VILLAGE;NY;11427
QUEENS VILLAGE;NY;11429
JAMAICA;NY;11430
JAMAICA;NY;11432
JAMAICA;NY;11434
JAMAICA;NY;11436
JAMAICA;NY;11451
JAMAICA;NY;11499
MINEOLA;NY;11501
ATLANTIC BEACH;NY;11509
BALDWIN;NY;11510
CEDARHURST;NY;11516
FREEPORT;NY;11520
GARDEN CITY;NY;11530
GARDEN CITY;NY;11535
GLEN COVE;NY;11542
GLEN HEAD;NY;11545
GREENVALE;NY;11548
HEMPSTEAD;NY;11549
HEMPSTEAD;NY;11551
UNIONDALE;NY;11553
UNIONDALE;NY;11556
HEWLETT;NY;11557
ISLAND PARK;NY;11558
LOCUST VALLEY;NY;11560
LONG BEACH;NY;11561
LYNBROOK;NY;11563
MALVERNE;NY;11565
OLD WESTBURY;NY;11568
ROCKVILLE CENTRE;NY;11571
ROSLYN HEIGHTS;NY;11577
SEA CLIFF;NY;11579
VALLEY STREAM;NY;11581
VALLEY STREAM;NY;11583
WESTBURY;NY;11593
WESTBURY;NY;11595
WOODMERE;NY;11598
GARDEN CITY;NY;11599
FAR ROCKAWAY;NY;11690
FAR ROCKAWAY;NY;11693
ROCKAWAY PARK;NY;11694
AMITYVILLE;NY;11701
BABYLON;NY;11702
WEST BABYLON;NY;11704
BAY SHORE;NY;11706
BAYVILLE;NY;11709
BELLMORE;NY;11710
BETHPAGE;NY;11714
BRIGHTWATERS;NY;11718
BROOKHAVEN;NY;11719
CENTERPORT;NY;11721
CENTRAL ISLIP;NY;11722
COLD SPRING HARBOR;NY;11724
COMMACK;NY;11725
EAST NORTHPORT;NY;11731
EAST SETAUKET;NY;11733
FARMINGDALE;NY;11735
FARMINGDALE;NY;11737
FARMINGVILLE;NY;11738
GREENLAWN;NY;11740
HOLTSVILLE;NY;11742
HUNTINGTON;NY;11743
MELVILLE;NY;11747
ISLANDIA;NY;11749
HUNTINGTON STATION;NY;11750
ISLIP;NY;11751
JERICHO;NY;11753
KINGS PARK;NY;11754
LAKE GROVE;NY;11755
LEVITTOWN;NY;11756
LINDENHURST;NY;11757
MASSAPEQUA PARK;NY;11762
MEDFORD;NY;11763
MILLER PLACE;NY;11764
MILL NECK;NY;11765
MOUNT SINAI;NY;11766
NESCONSET;NY;11767
OCEAN BEACH;NY;11770
PATCHOGUE;NY;11772
PORT JEFFERSON STATION;NY;11776
PORT JEFFERSON;NY;11777
SAYVILLE;NY;11782
SELDEN;NY;11784
SMITHTOWN;NY;11787
SOUND BEACH;NY;11789
STONY BROOK;NY;11790
SYOSSET;NY;11791
WADING RIVER;NY;11792
WEST SAYVILLE;NY;11796
HICKSVILLE;NY;11801
MID ISLAND;NY;11805
HICKSVILLE;NY;11815
HICKSVILLE;NY;11854
RIVERHEAD;NY;11901
CALVERTON;NY;11933
EAST HAMPTON;NY;11937
EAST MORICHES;NY;11940
EASTPORT;NY;11941
EAST QUOGUE;NY;11942
GREENPORT;NY;11944
JAMESPORT;NY;11947
MASTIC BEACH;NY;11951
MATTITUCK;NY;11952
MIDDLE ISLAND;NY;11953
MONTAUK;NY;11954
NEW SUFFOLK;NY;11956
QUOGUE;NY;11959
REMSENBURG;NY;11960
RIDGE;NY;11961
SAGAPONACK;NY;11962
SAG HARBOR;NY;11963
SHELTER ISLAND HEIGHTS;NY;11965
SHIRLEY;NY;11967
SOUTHAMPTON;NY;11968
SOUTH JAMESPORT;NY;11970
SPEONK;NY;11972
WAINSCOTT;NY;11975
WESTHAMPTON;NY;11977
YAPHANK;NY;11980
ALCOVE;NY;12007
AMSTERDAM;NY;12010
AURIESVILLE;NY;12016
BALLSTON SPA;NY;12020
BERLIN;NY;12022
BERNE;NY;12023
BURNT HILLS;NY;12027
BUSKIRK;NY;12028
CHATHAM;NY;12037
CHERRY PLAIN;NY;12040
CLARKSVILLE;NY;12041
CLIMAX;NY;12042
COBLESKILL;NY;12043
COEYMANS;NY;12045
COLUMBIAVILLE;NY;12050
DELANSON;NY;12053
DORMANSVILLE;NY;12055
EAGLE BRIDGE;NY;12057
EARLTON;NY;12058
EAST GREENBUSH;NY;12061
CLIFTON PARK;NY;12065
FEURA BUSH;NY;12067
FONDA;NY;12068
FORT HUNTER;NY;12069
GHENT;NY;12075
GLOVERSVILLE;NY;12078
GREENVILLE;NY;12083
GUILDERLAND;NY;12084
HOOSICK FALLS;NY;12090
JOHNSONVILLE;NY;12094
JOHNSTOWN;NY;12095
KINDERHOOK;NY;12106
KNOX;NY;12107
LAKE PLEASANT;NY;12108
LATHAM;NY;12111
MALDEN BRIDGE;NY;12115
MECHANICVILLE;NY;12118
MEDUSA;NY;12120
MIDDLEBURGH;NY;12122
NEW BALTIMORE;NY;12124
NEW LEBANON;NY;12125
NIVERVILLE;NY;12130
NORTH BLENHEIM;NY;12131
NORTHVILLE;NY;12134
PATTERSONVILLE;NY;12137
POESTENKILL;NY;12140
QUAKER STREET;NY;12141
RAVENA;NY;12143
RICHMONDVILLE;NY;12149
ROTTERDAM JUNCTION;NY;12150
SAND LAKE;NY;12153
SCHAGHTICOKE;NY;12154
SCHENEVUS;NY;12155
SELKIRK;NY;12158
SLINGERLANDS;NY;12159
SOUTH BETHLEHEM;NY;12161
SPECULATOR;NY;12164
STEPHENTOWN;NY;12169
STILLWATER;NY;12170
STOTTVILLE;NY;12172
STUYVESANT FALLS;NY;12174
SUMMIT;NY;12175
TRIBES HILL;NY;12177
TROY;NY;12179
TROY;NY;12181
TROY;NY;12183
VALATIE;NY;12184
VOORHEESVILLE;NY;12186
WARNERVILLE;NY;12187
WELLS;NY;12190
WEST COXSACKIE;NY;12192
WEST FULTON;NY;12194
WORCESTER;NY;12197
WYNANTSKILL;NY;12198
ALBANY;NY;12201
ALBANY;NY;12203
ALBANY;NY;12205
ALBANY;NY;12207
ALBANY;NY;12209
ALBANY;NY;12211
ALBANY;NY;12214
ALBANY;NY;12222
ALBANY;NY;12224
ALBANY;NY;12226
ALBANY;NY;12228
ALBANY;NY;12230
ALBANY;NY;12232
ALBANY;NY;12234
ALBANY;NY;12236
ALBANY;NY;12238
ALBANY;NY;12240
ALBANY;NY;12242
ALBANY;NY;12244
ALBANY;NY;12246
ALBANY;NY;12248
ALBANY;NY;12250
ALBANY;NY;12255
ALBANY;NY;12257
ALBANY;NY;12261
ALBANY;NY;12288
SCHENECTADY;NY;12302
SCHENECTADY;NY;12304
SCHENECTADY;NY;12306
SCHENECTADY;NY;12308
SCHENECTADY;NY;12325
KINGSTON;NY;12402
ACRA;NY;12405
BEARSVILLE;NY;12409
BOICEVILLE;NY;12412
CAIRO;NY;12413
CATSKILL;NY;12414
COTTEKILL;NY;12419
CRAGSMOOR;NY;12420
EAST DURHAM;NY;12423
EAST JEWETT;NY;12424
ELKA PARK;NY;12427
FREEHOLD;NY;12431
GLASCO;NY;12432
GLENFORD;NY;12433
GRAND GORGE;NY;12434
GREENFIELD PARK;NY;12435
HAINES FALLS;NY;12436
HALCOTTSVILLE;NY;12438
HIGH FALLS;NY;12440
HIGHMOUNT;NY;12441
HUNTER;NY;12442
HURLEY;NY;12443
LAKE HILL;NY;12448
MAPLECREST;NY;12454
MOUNT MARION;NY;12456
NAPANOCH;NY;12458
OAK HILL;NY;12460
OLIVEBRIDGE;NY;12461
PURLING;NY;12470
RIFTON;NY;12471
ROXBURY;NY;12474
RUBY;NY;12475
SAUGERTIES;NY;12477
SOUTH CAIRO;NY;12482
SPRING GLEN;NY;12483
STONE RIDGE;NY;12484
TILLSON;NY;12486
ULSTER PARK;NY;12487
WAWARSING;NY;12489
WEST PARK;NY;12493
WINDHAM;NY;12496
ANCRAMDALE;NY;12503
BANGALL;NY;12506
BARRYTOWN;NY;12507
BEACON;NY;12508
CASTLE POINT;NY;12511
CHELSEA;NY;12512
CLAVERACK;NY;12513
CLINTON CORNERS;NY;12514
CLINTONDALE;NY;12515
COPAKE;NY;12516
CORNWALL ON HUDSON;NY;12520
ELIZAVILLE;NY;12523
FISHKILL;NY;12524
GARDINER;NY;12525
GERMANTOWN;NY;12526
HUGHSONVILLE;NY;12537
MARLBORO;NY;12542
MILLBROOK;NY;12545
MILLERTON;NY;12546
MODENA;NY;12548
NEWBURGH;NY;12551
NEW WINDSOR;NY;12553
NEW PALTZ;NY;12561
PINE BUSH;NY;12566
PLATTEKILL;NY;12568
RHINEBECK;NY;12572
ROCK TAVERN;NY;12575
SALISBURY MILLS;NY;12577
STANFORDVILLE;NY;12581
STORMVILLE;NY;12582
VERBANK;NY;12585
WALDEN;NY;12586
WALKER VALLEY;NY;12588
WALLKILL;NY;12589
WEST COPAKE;NY;12593
WINGDALE;NY;12594
POUGHKEEPSIE;NY;12602
POUGHKEEPSIE;NY;12604
MONTICELLO;NY;12701
BETHEL;NY;12720
BLOOMINGBURG;NY;12721
CALLICOON;NY;12723
CLARYVILLE;NY;12725
COCHECTON;NY;12726
CUDDEBACKVILLE;NY;12729
ELDRED;NY;12732
FALLSBURG;NY;12733
GLEN SPEY;NY;12737
GODEFFROY;NY;12739
GRAHAMSVILLE;NY;12740
HARRIS;NY;12742
HURLEYVILLE;NY;12747
KAUNEONGA LAKE;NY;12749
KENOZA LAKE;NY;12750
KIAMESHA LAKE;NY;12751
LAKE HUNTINGTON;NY;12752
LIBERTY;NY;12754
LIVINGSTON MANOR;NY;12758
MONGAUP VALLEY;NY;12762
NARROWSBURG;NY;12764
NEVERSINK;NY;12765
NORTH BRANCH;NY;12766
OBERNBURG;NY;12767
PARKSVILLE;NY;12768
POND EDDY;NY;12770
ROCK HILL;NY;12775
SOUTH FALLSBURG;NY;12779
SUMMITVILLE;NY;12781
SUNDOWN;NY;12782
THOMPSONVILLE;NY;12784
WESTBROOKVILLE;NY;12785
WHITE LAKE;NY;12786
WOODBOURNE;NY;12788
WOODRIDGE;NY;12789
WURTSBORO;NY;12790
YULAN;NY;12792
GLENS FALLS;NY;12801
SOUTH GLENS FALLS;NY;12803
ADIRONDACK;NY;12808
BAKERS MILLS;NY;12811
BLUE MOUNTAIN LAKE;NY;12812
BRANT LAKE;NY;12815
CHESTERTOWN;NY;12817
CLEMONS;NY;12819
FORT ANN;NY;12827
FORT EDWARD;NY;12828
GANSEVOORT;NY;12831
HADLEY;NY;12835
HARTFORD;NY;12838
HUDSON FALLS;NY;12839
HULETTS LANDING;NY;12841
INDIAN LAKE;NY;12842
JOHNSBURG;NY;12843
LAKE LUZERNE;NY;12846
LONG LAKE;NY;12847
MIDDLE FALLS;NY;12848
MIDDLE GROVE;NY;12850
MINERVA;NY;12851
NEWCOMB;NY;12852
NORTH CREEK;NY;12853
NORTH RIVER;NY;12856
OLMSTEDVILLE;NY;12857
PORTER CORNERS;NY;12859
SARATOGA SPRINGS;NY;12866
SCHROON LAKE;NY;12870
SCHUYLERVILLE;NY;12871
SHUSHAN;NY;12873
SILVER BAY;NY;12874
STONY CREEK;NY;12878
WARRENSBURG;NY;12885
WHITEHALL;NY;12887
PLATTSBURGH;NY;12901
AU SABLE FORKS;NY;12912
BLOOMINGDALE;NY;12913
BOMBAY;NY;12914
BRAINARDSVILLE;NY;12915
BRUSHTON;NY;12916
CHAMPLAIN;NY;12919
CHATEAUGAY;NY;12920
CHURUBUSCO;NY;12923
KEESEVILLE;NY;12924
CONSTABLE;NY;12926
DANNEMORA;NY;12929
ELIZABETHTOWN;NY;12932
ELLENBURG CENTER;NY;12934
ESSEX;NY;12936
FORT COVINGTON;NY;12937
GABRIELS;NY;12939
JAY;NY;12941
LAKE PLACID;NY;12946
LYON MOUNTAIN;NY;12955
MOIRA;NY;12957
MOOERS FORKS;NY;12959
MORIAH;NY;12960
MORRISONVILLE;NY;12962
OWLS HEAD;NY;12969
PAUL SMITHS;NY;12970
PORT HENRY;NY;12974
PORT KENT;NY;12975
RAINBOW LAKE;NY;12976
RAY BROOK;NY;12977
ROUSES POINT;NY;12979
SAINT REGIS FALLS;NY;12980
SARANAC;NY;12981
SCHUYLER FALLS;NY;12985
VERMONTVILLE;NY;12989
WEST CHAZY;NY;12992
WESTPORT;NY;12993
WILLSBORO;NY;12996
WITHERBEE;NY;12998
APULIA STATION;NY;13020
AUBURN;NY;13021
AUBURN;NY;13024
BREWERTON;NY;13029
CATO;NY;13033
CAYUGA;NY;13034
CHITTENANGO;NY;13037
CICERO;NY;13039
CONSTANTIA;NY;13044
DRYDEN;NY;13053
DURHAMVILLE;NY;13054
EAST SYRACUSE;NY;13057
ELBRIDGE;NY;13060
FABIUS;NY;13063
FAYETTEVILLE;NY;13066
FULTON;NY;13069
HASTINGS;NY;13076
KING FERRY;NY;13081
LACONA;NY;13083
LA FAYETTE;NY;13084
LITTLE YORK;NY;13087
LIVERPOOL;NY;13089
LOCKE;NY;13092
LYCOMING;NY;13093
MALLORY;NY;13103
MARIETTA;NY;13110
MEMPHIS;NY;13112
MERIDIAN;NY;13113
MINETTO;NY;13115
NEW HAVEN;NY;13121
NORTH BAY;NY;13123
NORTH PITCHER;NY;13124
OSWEGO;NY;13126
GEORGETOWN;NY;13129
PARISH;NY;13131
PENNELLVILLE;NY;13132
PLAINVILLE;NY;13137
RED CREEK;NY;13143
SANDY CREEK;NY;13145
SAVANNAH;NY;13146
SCIPIO CENTER;NY;13147
SKANEATELES;NY;13152
SOUTH BUTLER;NY;13154
SOUTH OTSELIC;NY;13155
SYLVAN BEACH;NY;13157
TRUXTON;NY;13158
TULLY;NY;13159
UNION SPRINGS;NY;13160
VERONA BEACH;NY;13162
WAMPSVILLE;NY;13163
WEEDSPORT;NY;13166
SYRACUSE;NY;13202
SYRACUSE;NY;13204
SYRACUSE;NY;13206
SYRACUSE;NY;13208
SYRACUSE;NY;13210
SYRACUSE;NY;13212
SYRACUSE;NY;13215
SYRACUSE;NY;13218
SYRACUSE;NY;13220
SYRACUSE;NY;13224
SYRACUSE;NY;13235
SYRACUSE;NY;13250
SYRACUSE;NY;13252
SYRACUSE;NY;13261
ALDER CREEK;NY;13301
AVA;NY;13303
BARNEVELD;NY;13304
BLOSSVALE;NY;13308
BOONVILLE;NY;13309
BOUCKVILLE;NY;13310
BRANTINGHAM;NY;13312
BRIDGEWATER;NY;13313
BURLINGTON FLATS;NY;13315
CAMDEN;NY;13316
CANAJOHARIE;NY;13317
CASSVILLE;NY;13318
CHERRY VALLEY;NY;13320
CLARK MILLS;NY;13321
CLAYVILLE;NY;13322
COOPERSTOWN;NY;13326
CROGHAN;NY;13327
DEANSBORO;NY;13328
EAGLE BAY;NY;13331
FLY CREEK;NY;13337
FRANKFORT;NY;13340
GARRATTSVILLE;NY;13342
GREIG;NY;13345
HAMILTON;NY;13346
HINCKLEY;NY;13352
HOLLAND PATENT;NY;13354
ILION;NY;13357
LEE CENTER;NY;13363
LEONARDSVILLE;NY;13364
LITTLE FALLS;NY;13365
LOWVILLE;NY;13367
LYONS FALLS;NY;13368
MADISON;NY;13402
MARCY;NY;13403
MARTINSBURG;NY;13404
NEW BERLIN;NY;13411
NEW LISBON;NY;13415
NORTH BROOKFIELD;NY;13418
ONEIDA;NY;13421
ORWELL;NY;13426
PALATINE BRIDGE;NY;13428
PORT LEYDEN;NY;13433
RAQUETTE LAKE;NY;13436
REDFIELD;NY;13437
ROME;NY;13440
ROME;NY;13442
SANGERFIELD;NY;13455
SAUQUOIT;NY;13456
SHARON SPRINGS;NY;13459
SHERBURNE;NY;13460
SHERRILL;NY;13461
SMYRNA;NY;13464
SOLSVILLE;NY;13465
SPRINGFIELD CENTER;NY;13468
STITTVILLE;NY;13469
STRATFORD;NY;13470
THENDARA;NY;13472
VERNON;NY;13476
VERNON CENTER;NY;13477
WATERVILLE;NY;13480
WEST BURLINGTON;NY;13482
WESTDALE;NY;13483
WEST EDMESTON;NY;13485
WEST LEYDEN;NY;13489
WEST WINFIELD;NY;13491
WILLIAMSTOWN;NY;13493
YORKVILLE;NY;13495
UTICA;NY;13502
UTICA;NY;13504
UTICA;NY;13599
FORT DRUM;NY;13602
WATERTOWN;NY;13603
ADAMS;NY;13605
ADAMS CENTER;NY;13606
ALEXANDRIA BAY;NY;13607
ANTWERP;NY;13608
BELLEVILLE;NY;13611
BLACK RIVER;NY;13612
BRASHER FALLS;NY;13613
BROWNVILLE;NY;13615
CALCIUM;NY;13616
CARTHAGE;NY;13619
CLAYTON;NY;13624
DEER RIVER;NY;13627
DENMARK;NY;13631
EVANS MILLS;NY;13637
FELTS MILLS;NY;13638
FINE;NY;13639
WELLESLEY ISLAND;NY;13640
GREAT BEND;NY;13643
HAMMOND;NY;13646
HARRISVILLE;NY;13648
HELENA;NY;13649
HERMON;NY;13652
HEUVELTON;NY;13654
HOGANSBURG;NY;13655
LA FARGEVILLE;NY;13656
MADRID;NY;13660
MASSENA;NY;13662
MORRISTOWN;NY;13664
OXBOW;NY;13671
PIERREPONT MANOR;NY;13674
RAYMONDVILLE;NY;13678
RENSSELAER FALLS;NY;13680
RODMAN;NY;13682
RUSSELL;NY;13684
SACKETS HARBOR;NY;13685
SOUTH COLTON;NY;13687
SOUTH RUTLAND;NY;13688
THERESA;NY;13691
THOUSAND ISLAND PARK;NY;13692
THREE MILE BAY;NY;13693
WADDINGTON;NY;13694
WANAKENA;NY;13695
WINTHROP;NY;13697
POTSDAM;NY;13699
ANDES;NY;13731
APALACHIN;NY;13732
BARTON;NY;13734
BERKSHIRE;NY;13736
BIBLE SCHOOL PARK;NY;13737
BLODGETT MILLS;NY;13738
BLOOMVILLE;NY;13739
BOVINA CENTER;NY;13740
CANDOR;NY;13743
CHENANGO FORKS;NY;13746
CONKLIN;NY;13748
DAVENPORT;NY;13750
DAVENPORT CENTER;NY;13751
DE LANCEY;NY;13752
DELHI;NY;13753
DOWNSVILLE;NY;13755
EAST MEREDITH;NY;13757
EAST PHARSALIA;NY;13758
ENDICOTT;NY;13761
FRANKLIN;NY;13775
GREENE;NY;13778
HAMDEN;NY;13782
HARPERSFIELD;NY;13786
JOHNSON CITY;NY;13790
KILLAWOG;NY;13794
LAURENS;NY;13796
MASONVILLE;NY;13804
MILFORD;NY;13807
MORRIS;NY;13808
NINEVEH;NY;13813
NORTH NORWICH;NY;13814
ONEONTA;NY;13820
OTEGO;NY;13825
OUAQUAGA;NY;13826
PORTLANDVILLE;NY;13834
RICHFORD;NY;13835
SMITHBORO;NY;13840
TREADWELL;NY;13846
TROUT CREEK;NY;13847
UNADILLA;NY;13849
VESTAL;NY;13850
WEST ONEONTA;NY;13861
WINDSOR;NY;13865
BINGHAMTON;NY;13901
BINGHAMTON;NY;13903
BINGHAMTON;NY;13905
AKRON;NY;14001
ALABAMA;NY;14003
ALEXANDER;NY;14005
ATHOL SPRINGS;NY;14010
BARKER;NY;14012
BATAVIA;NY;14021
BURT;NY;14028
CENTERVILLE;NY;14029
CHAFFEE;NY;14030
CLARENCE;NY;14031
CLARENCE CENTER;NY;14032
COLLINS CENTER;NY;14035
COWLESVILLE;NY;14037
DALE;NY;14039
DARIEN CENTER;NY;14040
DAYTON;NY;14041
DELEVAN;NY;14042
DUNKIRK;NY;14048
EAST AMHERST;NY;14051
EAST AURORA;NY;14052
EDEN;NY;14057
ELMA;NY;14059
FARMERSVILLE STATION;NY;14060
FORESTVILLE;NY;14062
FREEDOM;NY;14065
GAINESVILLE;NY;14066
GASPORT;NY;14067
GLENWOOD;NY;14069
GOWANDA;NY;14070
GRAND ISLAND;NY;14072
IRVING;NY;14081
JAVA CENTER;NY;14082
LAWTONS;NY;14091
LEWISTON;NY;14092
LOCKPORT;NY;14095
MACHIAS;NY;14101
MARILLA;NY;14102
MIDDLEPORT;NY;14105
NEWFANE;NY;14108
NIAGARA UNIVERSITY;NY;14109
NORTH EVANS;NY;14112
NORTH JAVA;NY;14113
SANBORN;NY;14132
SARDINIA;NY;14134
SOUTH DAYTON;NY;14138
SOUTH WALES;NY;14139
STRYKERSVILLE;NY;14145
TONAWANDA;NY;14151
VAN BUREN POINT;NY;14166
WALES CENTER;NY;14169
WEST FALLS;NY;14170
WEST VALLEY;NY;14171
BUFFALO;NY;14201
BUFFALO;NY;14203
BUFFALO;NY;14205
BUFFALO;NY;14207
BUFFALO;NY;14209
BUFFALO;NY;14211
BUFFALO;NY;14213
BUFFALO;NY;14215
BUFFALO;NY;14217
BUFFALO;NY;14219
BUFFALO;NY;14221
BUFFALO;NY;14223
BUFFALO;NY;14225
BUFFALO;NY;14227
BUFFALO;NY;14231
BUFFALO;NY;14240
BUFFALO;NY;14260
BUFFALO;NY;14263
BUFFALO;NY;14265
BUFFALO;NY;14269
BUFFALO;NY;14272
BUFFALO;NY;14276
NIAGARA FALLS;NY;14302
